doi	subject
42255-024-00999-9	Obesity
42254-024-00745-w	Thermodynamics
42254-024-00745-w	Topological matter
42255-024-00997-x	Ageing
42255-024-00997-x	Cell biology
42255-024-00997-x	Energy metabolism
42255-024-01113-9	Clinical pharmacology
42255-024-01113-9	Metabolism
42255-024-01017-8	Diabetes
42255-024-01017-8	Medical imaging
42255-024-01027-6	Acute inflammation
42255-024-01027-6	Circadian rhythms
42255-024-01027-6	Intrauterine growth
42255-024-01027-6	Metabolism
42256-023-00784-5	
42254-024-00742-z	Laser-produced plasmas
42254-024-00742-z	Magnetically confined plasmas
42255-024-01055-2	Biochemistry
42255-024-01055-2	Cellular neuroscience
42255-024-01055-2	Medical research
42255-024-01055-2	Metabolism
42255-024-01055-2	Neurochemistry
42256-024-00850-6	
42255-024-00993-1	Dietary carbohydrates
42255-024-00993-1	Metabolism
42255-024-00993-1	Neuroendocrine diseases
42255-024-00993-1	Physiology
42255-024-00991-3	Endocrine system and metabolic diseases
42255-024-00991-3	Metabolism
42255-024-00991-3	Obesity
42255-024-00991-3	Type 2 diabetes
42255-024-00994-0	Bioenergetics
42255-024-00994-0	Genetics research
42255-024-00994-0	High-throughput screening
42255-024-00994-0	Metabolism
42255-024-00994-0	Mitochondria
42254-024-00740-1	Computer science
42254-024-00740-1	Pure mathematics
42254-024-00740-1	Theoretical particle physics
42255-024-00992-2	Histone post-translational modifications
42255-024-00992-2	Metabolism
42255-024-00992-2	Metabolomics
42255-024-00992-2	Microbiome
42255-024-00992-2	Post-translational modifications
42254-024-00743-y	Astronomy and astrophysics
42254-024-00743-y	Astronomy and planetary science
42254-024-00743-y	Computational science
42255-024-01012-z	Biomarkers
42255-024-01012-z	Metabolism
42255-024-01012-z	Systems biology
42255-024-01012-z	Translational research
42255-024-01010-1	Cancer
42255-024-01010-1	Cancer metabolism
42255-024-01010-1	Metabolic diseases
42255-024-01006-x	Mitochondria
42255-024-01006-x	Molecular neuroscience
42256-024-00812-y	Cheminformatics
42256-024-00812-y	Chemistry
42256-024-00812-y	Theoretical chemistry
42255-024-01002-1	Metabolism
42255-024-01002-1	Obesity
42255-024-01014-x	Mechanism of action
42255-024-01014-x	Metabolism
42255-024-01014-x	Metabolomics
42255-024-01014-x	Type 2 diabetes
42255-024-01000-3	Neurology
42255-024-01000-3	Neuroscience
42254-024-00741-0	Business and industry
42254-024-00715-2	Lasers
42254-024-00715-2	 LEDs and light sources
42254-024-00715-2	Optical physics
42255-024-00986-0	Cell signalling
42255-024-00986-0	Endocrinology
42255-024-00986-0	Metabolism
42255-024-00986-0	Thyroid gland
42256-024-00820-y	Computer science
42256-024-00820-y	Information technology
42256-024-00820-y	Science
42256-024-00820-y	 technology and society
42254-024-00725-0	Business and industry
42254-024-00725-0	Quantum information
42254-024-00706-3	Quantum information
42254-024-00706-3	Qubits
42254-024-00692-6	
42254-024-00704-5	Condensed-matter physics
42254-024-00704-5	Optical physics
42254-024-00704-5	Optics and photonics
42254-024-00698-0	Information theory and computation
42254-024-00698-0	Scientific data
42254-024-00724-1	Astronomy and planetary science
42254-024-00724-1	Planetary science
42255-024-01015-w	Inflammation
42255-024-01015-w	Mechanisms of disease
42255-024-01015-w	Metabolism
42255-024-01015-w	Vascular diseases
42254-024-00709-0	Information theory and computation
42254-024-00709-0	Mathematics and computing
42254-024-00709-0	Physics
42254-024-00712-5	Computer science
42254-024-00712-5	Mathematics and computing
42256-024-00842-6	Computational science
42256-024-00842-6	Computer science
42254-023-00685-x	Business and industry
42254-023-00685-x	Physics
42254-024-00699-z	Applied physics
42254-024-00699-z	Optical sensors
42255-024-01003-0	Fat metabolism
42255-024-01003-0	Fatty acids
42255-024-01003-0	Homeostasis
42255-024-01003-0	Metabolism
42255-024-00977-1	Epidemiology
42255-024-00977-1	Health policy
42255-024-00977-1	Lifestyle modification
42255-024-00977-1	Obesity
42254-024-00707-2	Biological physics
42254-024-00707-2	Biomaterials – cells
42254-024-00707-2	Nanoscale biophysics
42256-024-00800-2	Computational science
42256-024-00800-2	Computer science
42256-024-00805-x	Ethics
42256-024-00805-x	Policy
42254-024-00700-9	Biophysics
42254-024-00700-9	Materials science
42254-024-00703-6	Experimental particle physics
42254-024-00703-6	Phenomenology
42254-024-00703-6	Theoretical particle physics
42256-024-00827-5	Science
42256-024-00827-5	 technology and society
42256-024-00827-5	Technology
42254-024-00688-2	Computational science
42254-024-00688-2	Information theory and computation
42254-024-00688-2	Nonlinear phenomena
42255-024-00976-2	Immunotherapy
42255-024-00976-2	Metabolism
42255-024-00976-2	Translational immunology
42255-024-00976-2	Translational research
42255-024-01031-w	Biochemistry
42255-024-01031-w	Immunology
42255-024-01031-w	Metabolism
44341-024-00005-z	Computational biophysics
44341-024-00005-z	Membrane biophysics
44341-024-00005-z	Molecular biophysics
44323-024-00009-x	Circadian regulation
44323-024-00009-x	Sleep
44284-024-00063-3	Business and management
44284-024-00063-3	Geography
44284-024-00063-3	Science
44284-024-00063-3	 technology and society
44284-024-00069-x	Climate change
44284-024-00069-x	Research data
44286-024-00061-1	Chemical engineering
44286-024-00061-1	Sustainability
44286-024-00129-y	Inorganic chemistry
44286-024-00129-y	Materials chemistry
44287-024-00087-w	Electrical and electronic engineering
44287-024-00087-w	Information technology
44284-024-00105-w	
44284-024-00104-x	
44286-024-00075-9	Chemical engineering
44325-024-00033-7	Blood flow
44325-024-00033-7	Cardiology
44325-024-00033-7	Diseases
44325-024-00033-7	Health care
44284-024-00086-w	Climate change
44284-024-00086-w	Research data
44310-024-00046-1	Quantum information
44310-024-00046-1	Quantum mechanics
44310-024-00046-1	Quantum optics
44310-024-00046-1	Quantum physics
44310-024-00046-1	Qubits
44310-024-00046-1	Single photons and quantum effects
44333-024-00013-5	Carbon and energy
44333-024-00013-5	Environmental studies
44333-024-00013-5	Geography
44333-024-00013-5	Sustainability
44310-024-00042-5	Nonlinear optics
44310-024-00042-5	Optics and photonics
44310-024-00042-5	Quantum optics
44310-024-00042-5	Structural properties
44284-024-00049-1	Climate-change mitigation
44284-024-00049-1	Environmental impact
44284-024-00049-1	Urban ecology
44284-024-00060-6	Geography
44284-024-00060-6	Information technology
44284-024-00060-6	Research data
44284-024-00060-6	Scientific data
44286-024-00130-5	Biomedical engineering
44286-024-00130-5	Fluid dynamics
44284-024-00059-z	Economics
44284-024-00059-z	Environmental economics
44284-024-00059-z	Psychology and behaviour
44284-024-00057-1	Civil engineering
44284-024-00057-1	Economics
44304-024-00044-5	Environmental sciences
44304-024-00044-5	Natural hazards
44284-024-00112-x	Archaeology
44284-024-00112-x	History
44286-024-00076-8	Chemical engineering
44286-024-00076-8	Electrocatalysis
44284-024-00148-z	Climate sciences
44284-024-00148-z	Environmental sciences
44284-024-00111-y	
44310-024-00038-1	Nanophotonics and plasmonics
44310-024-00038-1	Optics and photonics
44310-024-00038-1	Photonic devices
44310-024-00038-1	Silicon photonics
44284-024-00043-7	Natural hazards
44284-024-00043-7	Research data
44284-024-00050-8	Diseases
44284-024-00050-8	Environmental sciences
44284-024-00034-8	Complex networks
44284-024-00034-8	Outcomes research
44284-024-00034-8	Scientific data
44284-024-00034-8	Sociology
44284-024-00051-7	Civil engineering
44284-024-00051-7	Complex networks
44284-024-00051-7	Economics
44284-024-00047-3	Climate sciences
44284-024-00047-3	Materials science
43247-024-01621-2	Carbon cycle
43247-024-01621-2	Wetlands ecology
43246-024-00596-z	Superconducting properties and materials
43246-024-00603-3	Atomistic models
43246-024-00603-3	Mechanical properties
43246-024-00603-3	Metals and alloys
43247-024-01605-2	Atmospheric dynamics
43247-024-01605-2	Climate-change impacts
43247-024-01605-2	Cryospheric science
43246-024-00563-8	Electronic properties and materials
43246-024-00563-8	Quantum dots
43246-024-00563-8	Qubits
43246-024-00563-8	Surfaces
43246-024-00563-8	 interfaces and thin films
43247-024-01612-3	Climate-change impacts
43247-024-01612-3	Projection and prediction
43247-024-01603-4	Hydrology
43247-024-01603-4	Palaeoclimate
43246-024-00597-y	Bioinspired materials
43246-024-00597-y	Biomaterials – proteins
43246-024-00597-y	Biomedical materials
43246-024-00597-y	Biomimetics
43246-024-00602-4	Biopolymers
43246-024-00602-4	Electrochemistry
43246-024-00602-4	Energy storage
43246-024-00602-4	Renewable energy
43247-024-01573-7	Communication
43247-024-01573-7	Human behaviour
43247-024-01592-4	Geochemistry
43247-024-01592-4	Geology
43247-024-01592-4	Volcanology
43017-024-00543-z	Climate change
43017-024-00543-z	Climate-change ecology
43017-024-00543-z	Climate-change impacts
43016-024-00963-6	Agroecology
43016-024-00963-6	Agriculture
43016-024-00963-6	Business and management
43016-024-00963-6	Science
43016-024-00963-6	 technology and society
43016-024-00959-2	Climate sciences
43016-024-00959-2	Nutrition
43017-024-00532-2	Climate change
43017-024-00532-2	Climate-change mitigation
43017-024-00545-x	Hydrology
43017-024-00545-x	Water resources
43247-024-01580-8	Geography
43247-024-01580-8	Sustainability
43247-024-01588-0	Climate-change mitigation
43247-024-01588-0	Environmental impact
43247-024-01588-0	Environmental studies
43247-024-01531-3	Climate and Earth system modelling
43247-024-01531-3	Palaeoclimate
43247-024-01451-2	Climate-change adaptation
43247-024-01451-2	Climate-change ecology
43247-024-01451-2	Community ecology
43246-024-00584-3	Characterization and analytical techniques
43246-024-00584-3	Mechanical engineering
43246-024-00584-3	Metals and alloys
43246-024-00591-4	Biomedical engineering
43246-024-00591-4	Electrical and electronic engineering
43246-024-00591-4	Ultrasound
43247-024-01593-3	Palaeoceanography
43247-024-01593-3	Sedimentology
43246-024-00582-5	Electronic properties and materials
43246-024-00582-5	Surfaces
43246-024-00582-5	 interfaces and thin films
43247-024-01589-z	Energy and society
43247-024-01589-z	Environmental impact
43247-024-01589-z	Water resources
43247-024-01587-1	Attribution
43247-024-01587-1	Environmental impact
43247-024-01587-1	Environmental studies
43247-024-01587-1	Grassland ecology
43247-024-01523-3	Atmospheric science
43247-024-01523-3	Climate and Earth system modelling
43247-024-01523-3	Cryospheric science
43247-024-01570-w	Agriculture
43247-024-01570-w	Climate-change mitigation
43247-024-01570-w	Economics
43246-024-00595-0	Atomistic models
43246-024-00595-0	Batteries
43247-024-01578-2	Atmospheric dynamics
43247-024-01578-2	Environmental sciences
43247-024-01578-2	Natural hazards
43247-024-01578-2	Ocean sciences
43017-023-00509-7	Climate change
43017-023-00509-7	Cryospheric science
44310-024-00035-4	Optics and photonics
44310-024-00035-4	Physics
44328-024-00010-1	Biomarkers
44328-024-00010-1	Cardiology
44328-024-00010-1	Optics and photonics
44328-024-00011-0	Health care
44328-024-00011-0	Materials science
44328-024-00011-0	Nanoscience and technology
44328-024-00013-y	Biomarkers
44328-024-00013-y	Biomedical engineering
44328-024-00013-y	Electrical and electronic engineering
44328-024-00013-y	Neurological disorders
44328-024-00013-y	Quality of life
44335-024-00011-3	
44304-024-00023-w	Climate sciences
44304-024-00023-w	Natural hazards
44323-024-00005-1	Cell biology
44323-024-00005-1	Diseases
44325-024-00024-8	Cardiovascular biology
44325-024-00024-8	Cardiovascular diseases
44325-024-00024-8	Metabolism
44325-024-00024-8	Stem cells
44334-024-00003-y	Mathematics and computing
44334-024-00003-y	Mechanical engineering
44334-024-00003-y	Mechanical properties
44334-024-00003-y	Metals and alloys
44304-024-00015-w	Natural hazards
44304-024-00015-w	Solid Earth sciences
44325-024-00021-x	Cardiology
44325-024-00021-x	Neurology
44323-024-00007-z	Diseases
44323-024-00007-z	Neuroscience
44325-024-00007-9	Cardiology
44325-024-00007-9	Interventional cardiology
44310-024-00034-5	Integrated optics
44310-024-00034-5	Nanophotonics and plasmonics
44310-024-00034-5	Quantum optics
44310-024-00034-5	Single photons and quantum effects
44304-024-00022-x	Natural hazards
44304-024-00022-x	Sustainability
44310-024-00033-6	Integrated optics
44310-024-00033-6	Silicon photonics
44325-024-00014-w	Cardiology
44325-024-00014-w	Health care
44310-024-00029-2	Characterization and analytical techniques
44310-024-00029-2	Computational nanotechnology
44310-024-00029-2	Metamaterials
44310-024-00029-2	Nanophotonics and plasmonics
44323-024-00004-2	Diseases
44323-024-00004-2	Neuroscience
44355-024-00004-w	Hepatitis
44355-024-00004-w	Liver fibrosis
44355-024-00004-w	Non-alcoholic steatohepatitis
44333-024-00002-8	Climate-change mitigation
44333-024-00002-8	Energy policy
44333-024-00002-8	Geography
44310-024-00031-8	Materials science
44310-024-00031-8	Nanoscience and technology
44310-024-00031-8	Optics and photonics
44310-024-00031-8	Physics
44325-024-00012-y	Atherosclerosis
44325-024-00012-y	Cardiovascular biology
44325-024-00012-y	Imaging
44325-024-00012-y	Inflammation
44260-024-00014-y	Applied mathematics
44260-024-00014-y	Evolutionary ecology
44304-024-00012-z	Fire ecology
44304-024-00012-z	Natural hazards
44328-024-00005-y	Engineering
44328-024-00005-y	Physics
44310-024-00024-7	Integrated optics
44310-024-00024-7	Optics and photonics
44310-024-00028-3	Nanoscale materials
44310-024-00028-3	Optical materials and structures
44310-024-00019-4	Nanophotonics and plasmonics
44310-024-00019-4	Polaritons
44310-024-00030-9	Frequency combs
44310-024-00030-9	Integrated optics
44310-024-00030-9	Microresonators
44260-024-00012-0	Social sciences
44260-024-00012-0	Statistical physics
44260-024-00012-0	 thermodynamics and nonlinear dynamics
42256-024-00795-w	Gene ontology
42256-024-00795-w	Machine learning
42256-024-00795-w	Protein function predictions
42256-023-00773-8	Diagnostic markers
42256-023-00773-8	Machine learning
42256-023-00773-8	SARS-CoV-2
42256-023-00773-8	Statistics
42255-024-00996-y	Ageing
42255-024-00996-y	Metabolism
42255-024-00996-y	Mitochondria
42255-024-00996-y	Proteomic analysis
42255-024-00996-y	Reproductive biology
42256-023-00788-1	Chemistry
42256-023-00788-1	Computational science
42255-024-01056-1	Careers
42255-024-01056-1	Metabolism
42255-024-01056-1	Scientific community
42255-023-00972-y	Fat metabolism
42255-023-00972-y	Lipids
42255-023-00972-y	Metabolism
42255-023-00972-y	Metabolomics
42255-023-00972-y	Senescence
42256-024-00794-x	Applied mathematics
42256-024-00794-x	Computer science
42256-024-00794-x	Physical chemistry
42255-024-00988-y	Clinical microbiology
42255-024-00988-y	Metabolism
42255-024-00988-y	Microbiota
42255-024-00988-y	Obesity
42255-024-00988-y	Randomized controlled trials
42254-024-00737-w	History
42254-024-00737-w	Lab life
42256-024-00891-x	Computer science
42256-024-00891-x	Electrical and electronic engineering
42255-024-01004-z	Endocrine system and metabolic diseases
42255-024-01004-z	Genome-wide association studies
42255-024-01004-z	Heritable quantitative trait
42255-024-01004-z	Obesity
42255-023-00971-z	Diabetes
42255-023-00971-z	Homeostasis
42255-023-00971-z	Metabolic diseases
42255-023-00971-z	Metabolism
42255-023-00939-z	Gene expression
42255-023-00939-z	Homeostasis
42255-023-00939-z	Metabolism
42255-023-00939-z	Proteolysis
42255-023-00939-z	Stress signalling
42255-023-00944-2	Cell signalling
42255-023-00944-2	Homeostasis
42255-023-00944-2	Pancreas
42255-024-00978-0	Energy metabolism
42255-024-00978-0	Mechanisms of disease
42255-024-00978-0	Metabolism
42255-024-00978-0	Mitochondria
42255-024-00978-0	Obesity
42255-023-00961-1	Epidemiology
42255-023-00961-1	Type 2 diabetes
42256-023-00772-9	Computer science
42256-023-00772-9	Information theory and computation
42256-023-00787-2	Gene therapy
42256-023-00787-2	Protein design
42255-023-00957-x	Fat metabolism
42255-023-00957-x	Lipids
42255-023-00957-x	Mechanisms of disease
42255-023-00957-x	Metabolism
42255-023-00957-x	Obesity
42255-023-00940-6	Embryogenesis
42255-023-00940-6	Metabolism
42255-023-00940-6	Pluripotent stem cells
42256-023-00775-6	Drug discovery
42256-023-00775-6	Information technology
42254-023-00684-y	
42255-024-01081-0	Microglia
42255-024-01081-0	Neurodevelopmental disorders
42256-024-00816-8	Cheminformatics
42256-024-00816-8	Machine learning
42256-024-00816-8	Metabolomics
42255-023-00967-9	Epidemiology
42255-023-00967-9	Metabolism
42255-023-00967-9	Metabolomics
42256-024-00821-x	Cheminformatics
42256-024-00821-x	Computational biology and bioinformatics
42256-024-00821-x	Machine learning
42256-024-00821-x	Natural products
42255-024-01080-1	Metabolism
42255-024-01080-1	Microglia
42255-024-01080-1	Mitochondria
42255-024-01080-1	Neuroscience
42255-024-01111-x	Feeding behaviour
42255-024-01111-x	Neural circuits
42255-024-01111-x	Neurophysiology
42256-024-00885-9	Learning algorithms
42256-024-00885-9	Network models
42256-024-00896-6	
42255-024-01095-8	Cellular neuroscience
42255-024-01095-8	Glial biology
42255-024-01095-8	Metabolism
42255-024-01095-8	Microglia
42255-024-01095-8	Mitochondria
44386-024-00001-2	Drug screening
44386-024-00001-2	Pharmaceutics
44304-024-00028-5	Economics
44304-024-00028-5	Natural hazards
44304-024-00028-5	Social policy
44334-024-00005-w	Engineering
44334-024-00005-w	Materials for devices
44334-024-00005-w	Mechanical engineering
44334-024-00006-9	Engineering
44334-024-00006-9	Mechanical engineering
44325-024-00028-4	Cardiology
44325-024-00028-4	Heart failure
44325-024-00028-4	Therapeutics
44310-024-00012-x	Metamaterials
44304-024-00009-8	Environmental sciences
44304-024-00009-8	Natural hazards
44310-024-00008-7	Integrated optics
44310-024-00008-7	Optics and photonics
44310-024-00008-7	Silicon photonics
44333-024-00003-7	Engineering
44333-024-00003-7	Environmental impact
44325-024-00003-z	Cardiovascular diseases
44325-024-00003-z	Endocrine system and metabolic diseases
44310-024-00013-w	Metamaterials
44333-024-00001-9	Engineering
44333-024-00001-9	Science
44333-024-00001-9	 technology and society
44333-024-00001-9	Scientific community
44310-024-00009-6	Integrated optics
44310-024-00009-6	Optoelectronic devices and components
44310-024-00009-6	Silicon photonics
44304-024-00010-1	Climate sciences
44304-024-00010-1	Natural hazards
44310-024-00011-y	Nanophotonics and plasmonics
44310-024-00011-y	Optical sensors
44310-024-00011-y	Optomechanics
44310-024-00011-y	Photonic crystals
44260-024-00005-z	Social anthropology
44260-024-00005-z	Social evolution
44355-024-00002-y	Liver
44355-024-00002-y	Liver cirrhosis
44355-024-00002-y	Liver fibrosis
44355-024-00002-y	Non-alcoholic fatty liver disease
44355-024-00002-y	Non-alcoholic steatohepatitis
44304-024-00008-9	Climate sciences
44304-024-00008-9	Natural hazards
44310-024-00014-9	Diode lasers
44310-024-00014-9	Lasers
44310-024-00014-9	 LEDs and light sources
44310-024-00014-9	Photonic crystals
44286-023-00021-1	Chemical engineering
44286-023-00021-1	Physical chemistry
44287-024-00024-x	Electrical and electronic engineering
44287-024-00024-x	Surfaces
44287-024-00024-x	 interfaces and thin films
44287-024-00024-x	Two-dimensional materials
44310-024-00041-6	Nanoscience and technology
44310-024-00041-6	Optics and photonics
44260-024-00006-y	Computational science
44260-024-00006-y	Interdisciplinary studies
44260-024-00006-y	Society
44304-024-00006-x	Natural hazards
44304-024-00006-x	Ocean sciences
44304-024-00006-x	Solid Earth sciences
44286-023-00010-4	Chemical engineering
44286-023-00010-4	Computational science
44287-023-00012-7	Diagnostic markers
44287-023-00012-7	Electrical and electronic engineering
44287-023-00012-7	Translational research
44260-024-00001-3	Interdisciplinary studies
44260-024-00001-3	Phase transitions and critical phenomena
44304-024-00004-z	Natural hazards
44304-024-00004-z	Water resources
44325-024-00005-x	Cardiovascular diseases
44325-024-00005-x	Stroke
44260-024-00002-2	Computational science
44260-024-00002-2	Health care
44260-024-00002-2	Scientific community
44260-024-00002-2	Statistical physics
44260-024-00002-2	 thermodynamics and nonlinear dynamics
44260-024-00003-1	Biological models
44260-024-00003-1	Biological techniques
44277-024-00011-y	Post-traumatic stress disorder
44277-024-00011-y	Predictive markers
44271-024-00106-4	Cognitive neuroscience
44271-024-00106-4	Human behaviour
44271-024-00106-4	Learning and memory
44271-024-00080-x	Human behaviour
44271-024-00080-x	Psychology
44221-024-00217-6	Ecology
44221-024-00217-6	Hydrology
44277-024-00016-7	Health care
44277-024-00016-7	Health services
44277-024-00016-7	Outcomes research
44303-024-00038-y	Cancer imaging
44303-024-00038-y	Positron-emission tomography
44222-024-00163-8	Assay systems
44222-024-00163-8	Biomimetics
44222-024-00163-8	High-throughput screening
44222-024-00163-8	Lab-on-a-chip
44222-024-00166-5	Acoustics
44222-024-00166-5	Mechanical engineering
44222-024-00166-5	Tissue engineering
44264-024-00028-y	Environmental economics
44264-024-00028-y	Socioeconomic scenarios
44259-024-00052-5	Antibiotics
44259-024-00052-5	Antimicrobial resistance
44303-024-00052-0	Cancer
44303-024-00052-0	Cell biology
44303-024-00052-0	Engineering
44303-024-00052-0	Nanoscience and technology
44303-024-00052-0	Oncology
44303-024-00052-0	Optics and photonics
44259-024-00055-2	Antimicrobial resistance
44259-024-00055-2	Fungal infection
44306-024-00058-9	Magnetic devices
44306-024-00058-9	Magnetic properties and materials
44306-024-00058-9	Sensors
44306-024-00058-9	Sensors and biosensors
44306-024-00058-9	Spintronics
44303-024-00048-w	Biomedical engineering
44303-024-00048-w	Optical techniques
44324-024-00030-5	Diabetes
44324-024-00030-5	Metabolic syndrome
44324-024-00030-5	Obesity
44324-024-00030-5	Pre-diabetes
44306-024-00059-8	Electrical and electronic engineering
44306-024-00059-8	Electronic and spintronic devices
44306-024-00059-8	Magnetic devices
44276-024-00062-w	
44271-024-00098-1	Human behaviour
44271-024-00098-1	Social evolution
44306-024-00013-8	Electronic properties and materials
44306-024-00013-8	Magnetic properties and materials
44306-024-00013-8	Spintronics
44298-024-00032-6	Epidemiology
44298-024-00032-6	Virology
44306-024-00020-9	Ferroelectrics and multiferroics
44306-024-00020-9	Magnetic properties and materials
44306-024-00020-9	Phase transitions and critical phenomena
44306-024-00016-5	Electronic and spintronic devices
44306-024-00016-5	Quantum metrology
44182-024-00009-w	Biomedical engineering
44182-024-00009-w	Mechanical engineering
44271-024-00091-8	Human behaviour
44271-024-00091-8	Language and linguistics
44271-024-00091-8	Philosophy
44271-024-00091-8	Problem solving
44271-024-00099-0	Human behaviour
44294-024-00023-1	Reproductive biology
44294-024-00023-1	Reproductive disorders
44271-024-00103-7	Human behaviour
44271-024-00103-7	Motivation
44271-024-00103-7	Reward
44271-024-00103-7	Stress and resilience
44294-024-00014-2	Health care
44294-024-00014-2	Health services
44306-024-00024-5	Magnetic properties and materials
44306-024-00024-5	Spintronics
44271-024-00097-2	Diagnosis
44271-024-00097-2	Human behaviour
44277-024-00017-6	Biomarkers
44277-024-00017-6	Scientific community
44221-024-00207-8	Biogeochemistry
44221-024-00207-8	Hydrology
43586-024-00378-4	Lab life
43586-024-00374-8	Lab life
43587-024-00616-0	Ageing
43587-024-00616-0	DNA methylation
43587-024-00616-0	Methylation analysis
43587-024-00616-0	Stochastic modelling
43586-024-00375-7	Lab life
43586-024-00372-w	Lab life
43586-024-00367-7	Lab life
43588-024-00734-0	Genome informatics
43588-024-00734-0	Machine learning
43588-024-00734-0	Systems analysis
44160-024-00725-z	Solid-state chemistry
44160-024-00725-z	Synthesis and processing
44160-024-00673-8	Catalyst synthesis
44160-024-00673-8	Synthetic chemistry methodology
44161-024-00582-1	Atherosclerosis
44161-024-00582-1	Cardiovascular diseases
43586-024-00364-w	Lab life
43586-024-00362-y	Lab life
43588-024-00732-2	Applied mathematics
43588-024-00732-2	Biomedical engineering
43588-024-00732-2	Computational science
43586-024-00360-0	Lab life
43588-024-00758-6	Computational science
43588-024-00758-6	Publishing
44160-024-00664-9	Synthetic chemistry methodology
44160-024-00664-9	Photocatalysis
44160-024-00664-9	Sustainability
43586-024-00359-7	Lab life
43588-024-00730-4	Computational science
43588-024-00730-4	Physical chemistry
43588-024-00730-4	Quantum chemistry
43588-024-00721-5	Computational models
43588-024-00721-5	Data processing
43588-024-00721-5	Machine learning
44159-024-00401-1	Human behaviour
44159-024-00401-1	Psychology
44159-024-00401-1	Stress and resilience
43588-024-00759-5	Cellular neuroscience
43588-024-00759-5	Computational biology and bioinformatics
43588-024-00759-5	Computational neuroscience
43588-024-00759-5	Machine learning
43588-024-00755-9	Information theory and computation
43588-024-00755-9	Quantum information
43586-024-00357-9	Lab life
43586-024-00369-5	Lab life
43586-024-00355-x	Lab life
44160-024-00658-7	Homogeneous catalysis
44160-024-00658-7	Synthetic chemistry methodology
43586-024-00353-z	Lab life
44160-024-00685-4	Catalyst synthesis
44160-024-00685-4	Electrocatalysis
43587-024-00754-5	Ageing
43587-024-00754-5	Homologous recombination
43587-024-00754-5	Nucleolus
43587-024-00786-x	
43587-024-00784-z	Ageing
43587-024-00784-z	Environmental impact
43587-024-00784-z	Sustainability
43586-024-00350-2	Lab life
44259-024-00049-0	Antimicrobial resistance
44259-024-00049-0	Clinical microbiology
44298-024-00059-9	Biochemistry
44298-024-00059-9	Microbiology
44271-024-00146-w	Human behaviour
44222-024-00232-y	Computer science
44222-024-00232-y	Fluid dynamics
44222-024-00232-y	Medical research
44271-024-00168-4	Developing world
44271-024-00168-4	Psychology
44221-024-00300-y	Hydrology
44222-024-00216-y	Biomaterials
44222-024-00216-y	Biomedical engineering
44222-024-00216-y	Translational research
44222-024-00221-1	Biomaterials – proteins
44221-024-00269-8	Climate-change mitigation
44221-024-00269-8	Cryospheric science
44221-024-00269-8	Hydrology
44221-024-00242-5	Climate sciences
44221-024-00242-5	Environmental chemistry
44220-024-00240-2	Genetics research
44220-024-00240-2	Pharmacogenetics
44221-024-00223-8	Economics
44221-024-00223-8	Water resources
44220-024-00285-3	Funding
44220-024-00285-3	Health policy
44220-024-00285-3	Interdisciplinary studies
44220-024-00285-3	Policy
44220-024-00285-3	Psychology
44271-024-00145-x	Medical research
44271-024-00145-x	Psychiatric disorders
44271-024-00145-x	Risk factors
44276-024-00053-x	
44276-024-00058-6	
44276-024-00059-5	
44222-024-00193-2	Biomedical engineering
44222-024-00193-2	Immunotherapy
44222-024-00209-x	Tissue engineering
44222-024-00209-x	Translational research
44221-024-00266-x	Attribution
44221-024-00266-x	Cryospheric science
44221-024-00266-x	Hydrology
44221-024-00266-x	Physical oceanography
44221-024-00271-0	
44222-024-00235-9	Genetic engineering
44222-024-00235-9	Metabolic engineering
44222-024-00235-9	Synthetic biology
44298-024-00071-z	Influenza virus
44298-024-00071-z	Virology
44221-024-00246-1	Environmental economics
44221-024-00246-1	Hydrology
44221-024-00234-5	Environmental monitoring
44221-024-00234-5	Mass spectrometry
44221-024-00237-2	Pollution remediation
44221-024-00237-2	Water resources
44221-024-00230-9	Energy security
44221-024-00230-9	Hydrology
44221-024-00233-6	Chemical engineering
44221-024-00233-6	Pollution remediation
44220-024-00239-9	Addiction
44220-024-00239-9	Cognitive control
44220-024-00258-6	Emotion
44220-024-00258-6	Psychology
44220-024-00258-6	Reward
44220-024-00258-6	Stress and resilience
44306-024-00055-y	Magnetic properties and materials
44276-024-00086-2	
43588-024-00655-y	Cancer metabolism
43588-024-00655-y	Computational models
43588-024-00655-y	Pathology
43588-023-00589-x	Computational science
43588-023-00589-x	Network topology
43588-024-00697-2	Chemical libraries
43588-024-00697-2	Drug discovery
43587-024-00715-y	Disease model
43587-024-00715-y	Reproductive disorders
43588-024-00645-0	Chemical physics
43588-024-00645-0	Chemistry
43588-024-00645-0	Computational science
43588-024-00645-0	Physics
42949-024-00189-2	Development studies
42949-024-00189-2	Geography
43856-024-00684-8	DNA vaccines
43856-024-00684-8	Vaccines
43856-024-00684-8	Viral infection
42949-024-00187-4	Development studies
42949-024-00187-4	Geography
43856-024-00656-y	Infectious diseases
43856-024-00656-y	RNA vaccines
43588-024-00639-y	Applied mathematics
43588-024-00639-y	Drug discovery and development
43588-024-00639-y	Lead optimization
43588-024-00644-1	Nanoparticles
43588-024-00644-1	Nonlinear optics
43588-024-00644-1	Optical techniques
43856-024-00685-7	Epidemiology
43856-024-00685-7	SARS-CoV-2
43856-024-00685-7	Viral epidemiology
43587-024-00633-z	Ageing
43587-024-00633-z	Mechanisms of disease
43587-024-00633-z	Metabolic disorders
